-237      	23        	27        	-60       	-216      	73        	-160      	202       	
-241      	160       	-119      	36        	-57       	119       	26        	-15       	
-246      	-29       	188       	-215      	-158      	15        	166       	-138      	
29        	168       	200       	-39       	-161      	-224      	232       	-46       	
-29       	235       	160       	42        	-220      	113       	236       	182       	
-74       	-144      	-252      	93        	-7        	79        	118       	-106      	
173       	93        	113       	178       	-31       	-26       	246       	-44       	
-227      	249       	14        	80        	-121      	157       	59        	-131      	


-237      	-241      	-246      	29        	-29       	-74       	173       	-227      	
23        	160       	-29       	168       	235       	-144      	93        	249       	
27        	-119      	188       	200       	160       	-252      	113       	14        	
-60       	36        	-215      	-39       	42        	93        	178       	80        	
-216      	-57       	-158      	-161      	-220      	-7        	-31       	-121      	
73        	119       	15        	-224      	113       	79        	-26       	157       	
-160      	26        	166       	232       	236       	118       	246       	59        	
202       	-15       	-138      	-46       	182       	-106      	-44       	-131      	


254       	239       	142       	-206      	64        	-78       	-93       	-68       	
169       	2         	128       	-208      	-32       	190       	190       	-66       	
-93       	-175      	-53       	-49       	-131      	-45       	206       	235       	
-190      	-7        	-171      	247       	29        	-187      	-65       	31        	
-37       	-36       	-231      	177       	13        	63        	7         	-46       	
29        	213       	144       	-249      	140       	-210      	244       	-168      	
47        	173       	-222      	-15       	-68       	190       	248       	-125      	
-94       	-95       	-213      	-81       	-157      	148       	212       	-168      	


254       	169       	-93       	-190      	-37       	29        	47        	-94       	
239       	2         	-175      	-7        	-36       	213       	173       	-95       	
142       	128       	-53       	-171      	-231      	144       	-222      	-213      	
-206      	-208      	-49       	247       	177       	-249      	-15       	-81       	
64        	-32       	-131      	29        	13        	140       	-68       	-157      	
-78       	190       	-45       	-187      	63        	-210      	190       	148       	
-93       	190       	206       	-65       	7         	244       	248       	212       	
-68       	-66       	235       	31        	-46       	-168      	-125      	-168      	


-114      	81        	-95       	137       	213       	90        	146       	-86       	
-187      	-107      	-170      	180       	45        	226       	-221      	-100      	
-216      	157       	-172      	24        	190       	144       	-19       	-42       	
-109      	-32       	128       	-145      	59        	104       	-112      	-96       	
173       	-112      	20        	200       	-75       	-10       	8         	121       	
-93       	85        	-52       	138       	-37       	-185      	120       	84        	
30        	176       	99        	110       	249       	-71       	189       	6         	
88        	151       	-65       	-83       	-74       	102       	111       	76        	


-114      	-187      	-216      	-109      	173       	-93       	30        	88        	
81        	-107      	157       	-32       	-112      	85        	176       	151       	
-95       	-170      	-172      	128       	20        	-52       	99        	-65       	
137       	180       	24        	-145      	200       	138       	110       	-83       	
213       	45        	190       	59        	-75       	-37       	249       	-74       	
90        	226       	144       	104       	-10       	-185      	-71       	102       	
146       	-221      	-19       	-112      	8         	120       	189       	111       	
-86       	-100      	-42       	-96       	121       	84        	6         	76        	


